County,Town,Date/Time,Distance,Name,Cost,Month,Day,Quarter,Weekday
MedellÌn (CT),Antioquia,"thu, 5/5 8:12 PM",Artefacto Explosivo/Carga Dinamita,Terrorismo,1,5,5,0,0
ANGOSTURA,Antioquia,"Sat, 13/2 12:05 AM",Artefacto Explosivo/Carga Dinamita,Terrorismo,1,2,13,0,0
ANOR«ç,Antioquia,"Mon, 4/7 6:30 PM",Arma de fuego,Terrorismo,1,7,4,0,0
BETULIA,Antioquia,"Fri, 1/4 12:47 PM",Artefacto Incendiario,Terrorismo,1,4,1,0,0
CIUDAD Bolivar,Antioquia,"Fri, 1/4 6:30 PM",Artefacto Incendiario,Terrorismo,1,4,1,0,0
BriceÒo,Antioquia,"Sun, 28/2 3:30 PM",Mina antipersona,Terrorismo,1,2,28,0,0
BriceÒo,Antioquia,"Mon, 29/2 7:45 AM",Mina antipersona,Terrorismo,1,2,29,0,0
BURITIC«Å,Antioquia,"thu, 31/3 8:00 PM",Granada de Mano,Terrorismo,1,3,31,0,0
C«ÅCERES,Antioquia,"thu, 31/3 1:30 PM",Combustible,Terrorismo,1,3,31,0,0
CAMPAMENTO,Antioquia,"Wed, 17/2 9:00 AM",Artefacto Explosivo/Carga Dinamita,Terrorismo,1,2,17,0,0
CaucaSIA,Antioquia,"thu, 31/3 12:00 PM",Combustible,Terrorismo,1,3,31,0,0
EL BAGRE,Antioquia,"thu, 31/3 2:43 PM",Granada de Mano,Terrorismo,1,3,31,0,0
ENTRERRIOS,Antioquia,"Fri, 1/4 12:50 AM",Artefacto Incendiario,Terrorismo,1,4,1,0,0
GIRALDO,Antioquia,"Sat, 9/4 10:00 PM",Granada de Mano,Terrorismo,1,4,9,0,0
ITUANGO,Antioquia,"Wed, 17/2 5:00 PM",Mina antipersona,Terrorismo,1,2,17,0,0
ITUANGO,Antioquia,"Tue, 29/3 10:00 AM",Mina antipersona,Terrorismo,1,3,29,0,0
RIONEGRO,Antioquia,"Tue, 5/4 9:20 PM",Artefacto Incendiario,Terrorismo,1,4,5,0,0
SAN ANDR«?S DE CUERQU«çA,Antioquia,"Sat, 5/3 4:20 AM",Combustible,Terrorismo,1,3,5,0,0
SAN LUIS,Antioquia,"thu, 14/7 2:15 AM",Artefacto Incendiario,Terrorismo,1,7,14,0,0
SANTA ROSA DE OSOS,Antioquia,"Fri, 1/4 7:40 PM",Artefacto Incendiario,Terrorismo,1,4,1,0,0
SEGOVIA,Antioquia,"Wed, 3/2 3:30 AM",Artefacto Explosivo/Carga Dinamita,Terrorismo,1,2,3,0,0
SOPETR«ÅN,Antioquia,"thu, 31/3 8:50 PM",Combustible,Terrorismo,1,3,31,0,0
TARAZ«Å,Antioquia,"Wed, 30/3 11:30 PM",Combustible,Terrorismo,1,3,30,0,0
TARAZ«Å,Antioquia,"thu, 31/3 1:30 PM",Granada de Mano,Terrorismo,1,3,31,0,0
TARAZ«Å,Antioquia,"thu, 31/3 2:10 PM",Artefacto Incendiario,Terrorismo,1,3,31,0,0
TARAZ«Å,Antioquia,"Wed, 13/7 1:30 PM",Combustible,Terrorismo,1,7,13,0,0
TARAZ«Å,Antioquia,"thu, 21/7 12:00 AM",Mina antipersona,Terrorismo,1,7,21,0,0
TARSO,Antioquia,"thu, 31/3 3:45 PM",Combustible,Terrorismo,1,3,31,0,0
URRAO,Antioquia,"thu, 14/7 10:00 AM",Combustible,Terrorismo,1,7,14,0,0
VALDIVIA,Antioquia,"thu, 31/3 5:50 AM",Combustible,Terrorismo,1,3,31,0,0
VALDIVIA,Antioquia,"thu, 31/3 3:40 PM",Combustible,Terrorismo,1,3,31,0,0
VALDIVIA,Antioquia,"Fri, 1/4 10:00 AM",Combustible,Terrorismo,1,4,1,0,0
VALDIVIA,Antioquia,"Mon, 18/4 12:40 AM",Granada de Mano,Terrorismo,1,4,18,0,0
YARUMAL,Antioquia,"thu, 31/3 5:10 AM",Granada de Mano,Terrorismo,1,3,31,0,0
ZARAGOZA,Antioquia,"Wed, 30/3 10:50 PM",Granada de Mano,Terrorismo,1,3,30,0,0
Bogot† (CT),Cundinamarca,"Mon, 7/3 7:50 AM",Artefacto Explosivo/Carga Dinamita,Actos de terrorismo,1,3,7,0,0
Bogot† (CT),Cundinamarca,"Wed, 20/4 8:57 PM",Artefacto Explosivo/Carga Dinamita,Actos de terrorismo,1,4,20,0,0
Bogot† (CT),Cundinamarca,"Wed, 20/4 9:16 PM",Artefacto Explosivo/Carga Dinamita,Actos de terrorismo,1,4,20,0,0
Bogot† (CT),Cundinamarca,"Wed, 28/12 8:40 PM",Artefacto Explosivo/Carga Dinamita,Actos de terrorismo,1,12,28,0,0
CANTAGALLO,Bolivar,"thu, 28/1 2:30 PM",Artefacto Explosivo/Carga Dinamita,Terrorismo,1,1,28,0,0
SAN PABLO,Bolivar,"Sat, 2/1 6:15 AM",Granada de Mano,Terrorismo,1,1,2,0,0
